"","ssuid","monthly_childcare_expenditure","k_under2","k_3to5","k_6to10","METRO","reg_ratio","criminal_records","daycare_regulations","monthly_job_hrs","monthly_wage","monthly_earned_income","monthly_unearned_income","education","age","log_expenditure","H","F","d1","d2","d3"
"5519",881688172688,3454.84285714286,0,0,2,1,6,1,1,0,0,0,0,18,39.4166666666667,8.14753225243017,0,1,1,0,1
"5520",881688342688,0,0,0,1,1,6,1,1,32.6666666666667,3217.58333333333,3217.58333333333,-1842.70138888889,16,45.9166666666667,0,1,0,0,1,0
"5521",881688606310,434.571428571429,0,0,1,1,6,1,1,22.5,1354.16666666667,1447.5,-1334.65277777778,12,33.5833333333333,6.07436032376392,1,1,0,0,0
"5522",881688609688,0,0,0,2,1,6,1,1,0,0,0,91.5,18,43.1666666666667,0,0,0,1,0,0
"5523",881816037552,0,1,0,0,1,6,1,1,0,0,0,0,16,39.5,0,0,0,1,0,0
"5524",881816037960,0,1,1,0,1,6,1,1,0,0,0,0,10,24.9166666666667,0,0,0,1,0,0
"5525",881816043232,1955.57142857143,0,0,2,1,6,1,1,40.8333333333333,5195.25,5195.25,-4762.3125,16,35.1666666666667,7.5784377205402,1,1,0,0,0
"5526",881816049829,2607.42857142857,0,1,1,1,6,1,1,23.3333333333333,1808.33333333333,1866.66666666667,-1736.19444444444,14,42.8333333333333,7.86611979299198,1,1,0,0,0
"5527",881816049925,1086.42857142857,1,1,0,1,6,1,1,27.5,2618.91666666667,2618.91666666667,-2396.50694444444,18,33.6666666666667,6.99065105563808,1,1,0,0,0
"5528",881816092108,86.9142857142857,1,0,0,1,6,1,1,40,1520.83333333333,1520.83333333333,-1394.09722222222,12,22.75,4.46492241132982,1,1,0,0,0
"5529",881816092497,0,0,1,0,1,5,1,1,30,956.166666666667,956.166666666667,-876.486111111111,12,42.4166666666667,0,1,0,0,1,0
"5530",881816126363,0,0,0,2,1,6,1,1,41.9791666666667,4440,4440,-4018.51388888889,16,30.5833333333333,0,1,0,0,1,0
"5531",881816126467,0,0,1,0,1,6,1,1,0,0,0,0,12,31.1666666666667,0,0,0,1,0,0
"5532",881816136285,0,0,1,2,1,6,1,1,40,4306.75,4306.75,-3947.85416666667,14,27.9166666666667,0,1,0,0,1,0
"5533",881816199251,0,0,0,1,1,5,1,1,6,0,0,0,12,27.5833333333333,0,0,0,1,0,0
"5534",881816222053,0,1,0,0,1,6,1,1,0,0,0,319.5,12,19.9166666666667,0,0,0,1,0,0
"5535",881816228081,564.942857142857,0,1,3,1,5,1,1,35,3091.58333333333,3091.58333333333,-2833.86805555556,16,31.5833333333333,6.33672458823142,1,1,0,0,0
"5536",881816274280,0,0,0,1,1,6,1,1,0,0,0,0,14,26.5,0,0,0,1,0,0
"5537",881816274966,0,0,0,1,1,6,1,1,0,0,0,0,9,36.25,0,0,0,1,0,0
